Date,Ticker,Action,Price,Shares_Traded,Position_Shares_Remaining_After_Trade
2025-04-01,VNET,Initial Buy,7.880000114440918,3,3
2025-04-02,MCD,Initial Short,309.8227844238281,3,3
2025-04-03,LUNG,Initial Buy,6.760000228881836,3,3
2025-04-04,EXPD,Initial Short,108.2356185913086,3,3
2025-04-04,VNET,Stop-Loss Sell,7.225,3,0
2025-04-08,LUNG,Stop-Loss Sell,6.06,3,0
2025-04-08,OPRA,Initial Buy,13.880000114440918,3,3
2025-04-09,OPRA,PT1 Sell,15.08,1,2
2025-04-09,TOL,Initial Short,95.24256134033205,3,3
2025-04-10,CCI,Initial Short,94.14875793457033,3,3
2025-04-10,DDL,Initial Buy,2.130000114440918,3,3
2025-04-10,FI,Initial Short,204.3800048828125,3,3
2025-04-10,KC,Initial Buy,12.649999618530272,3,3
2025-04-10,LIN,Initial Short,430.5069885253906,3,3
2025-04-10,TOL,PT1 Buy,95.89,1,2
2025-04-11,APPF,Initial Short,224.1999969482422,3,3
2025-04-11,KC,PT1 Sell,13.15,1,2
2025-04-14,BZUN,Initial Buy,2.2699999809265137,3,3
2025-04-14,CLX,Initial Short,139.7293701171875,3,3
2025-04-14,DDL,PT1 Sell,2.43,1,2
2025-04-14,KC,PT2 Sell,14.44,1,1
2025-04-14,TOL,Stop-Loss Buy,95.24256134033205,2,0
2025-04-15,AMRX,Initial Buy,7.170000076293945,3,3
2025-04-15,KC,Stop-Loss Sell,13.15,1,0
2025-04-15,VMC,Initial Short,244.08897399902344,3,3
2025-04-16,DDL,Stop-Loss Sell,2.130000114440918,2,0
2025-04-17,ATHM,Initial Buy,25.81999969482422,3,3
2025-04-17,CCI,Stop-Loss Buy,102.295,3,0
2025-04-17,SFM,Initial Short,160.14999389648438,3,3
2025-04-21,FLG,Initial Buy,10.421040534973145,3,3
2025-04-21,OPRA,Stop-Loss Sell,13.880000114440918,2,0
2025-04-22,IONQ,Initial Short,25.559999465942383,3,3
2025-04-22,TAP,Initial Buy,58.46529006958008,3,3
2025-04-23,ATHM,PT1 Sell,27.82,1,2
2025-04-23,FI,Stop-Loss Buy,220.64,3,0
2025-04-23,IIPR,Initial Short,51.77999877929688,3,3
2025-04-23,IONQ,Stop-Loss Buy,27.44,3,0
2025-04-23,SPRY,Initial Short,14.380000114440918,3,3
2025-04-24,EWA,Initial Buy,24.140300750732425,3,3
2025-04-24,MNST,Initial Short,58.59000015258789,3,3
2025-04-25,APPF,PT1 Buy,197.445,1,2
2025-04-25,FLG,PT1 Sell,12.105,1,2
2025-04-25,THC,Initial Buy,122.0999984741211,3,3
2025-04-28,RTX,Initial Short,124.1670150756836,3,3
2025-04-29,BZUN,PT1 Sell,2.495,1,2
2025-04-29,EYPT,Initial Short,6.639999866485596,3,3
2025-04-29,SFM,Stop-Loss Buy,172.53,3,0
2025-04-29,THC,PT1 Sell,135.055,1,2
2025-04-30,JJSF,Initial Buy,128.7031707763672,3,3
2025-05-01,CAG,Initial Buy,24.18000030517578,3,3
2025-05-01,PANW,Initial Short,186.2700042724609,3,3
2025-05-01,THC,PT2 Sell,146.65,1,1
2025-05-01,VMC,Stop-Loss Buy,265.405,3,0
2025-05-02,ADM,Initial Buy,47.36348342895508,3,3
2025-05-02,AMRX,PT1 Sell,7.98,1,2
2025-05-02,BZUN,PT2 Sell,2.715,1,1
2025-05-02,EYPT,Stop-Loss Buy,7.18,3,0
2025-05-02,WMB,Initial Short,59.50066375732422,3,3
2025-05-02,ZM,Initial Short,78.2300033569336,3,3
